airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Vistara,UK-871,Delhi,Night,zero,Night,Hyderabad,Business,2.33,1,30630
Vistara,UK-879,Delhi,Evening,zero,Evening,Hyderabad,Business,2.25,1,38470
Vistara,UK-955,Delhi,Evening,one,Night,Hyderabad,Business,27.17,1,63513
Vistara,UK-955,Delhi,Evening,one,Afternoon,Hyderabad,Business,18.5,1,65764
Vistara,UK-985,Delhi,Evening,one,Night,Hyderabad,Business,25.08,1,69113
Vistara,UK-985,Delhi,Evening,one,Afternoon,Hyderabad,Business,16.42,1,71364
Vistara,UK-977,Delhi,Evening,one,Night,Hyderabad,Business,25.92,1,72137
Vistara,UK-977,Delhi,Evening,one,Afternoon,Hyderabad,Business,17.25,1,74388
Vistara,UK-707,Delhi,Evening,two_or_more,Night,Hyderabad,Business,27.42,1,82587
Vistara,UK-707,Delhi,Evening,two_or_more,Afternoon,Hyderabad,Business,18.75,1,84838
Vistara,UK-809,Delhi,Evening,two_or_more,Afternoon,Hyderabad,Business,16.42,1,95741
Vistara,UK-813,Delhi,Evening,two_or_more,Afternoon,Hyderabad,Business,18.67,1,95741
Vistara,UK-829,Delhi,Early_Morning,zero,Morning,Hyderabad,Business,2.17,2,26296
Vistara,UK-859,Delhi,Morning,zero,Afternoon,Hyderabad,Business,2.17,2,26296
Vistara,UK-899,Delhi,Afternoon,zero,Evening,Hyderabad,Business,2.25,2,26296
Vistara,UK-879,Delhi,Evening,zero,Evening,Hyderabad,Business,2.25,2,26296
Vistara,UK-871,Delhi,Night,zero,Night,Hyderabad,Business,2.33,2,26296
Vistara,UK-951,Delhi,Afternoon,one,Night,Hyderabad,Business,6.58,2,44585
Vistara,UK-953,Delhi,Night,one,Afternoon,Hyderabad,Business,15.58,2,55897
Vistara,UK-953,Delhi,Night,one,Night,Hyderabad,Business,24.25,2,55897
Vistara,UK-963,Delhi,Morning,one,Night,Hyderabad,Business,12.08,2,59145
